semester,semester_beginn,vorlesungsbeginn,erster_ferientag,letzter_ferientag,vorlesungsende,semesterende
SoSe 2011,2011-04-01,2011-04-04,2011-06-14,2011-06-18,2011-07-15,2011-09-30
WiSe 2011/12,2011-10-01,2011-10-10,2011-12-27,2012-01-06,2012-02-03,2012-03-31
SoSe 2012,2012-04-01,2012-04-02,2012-05-29,2012-06-02,2012-07-13,2012-09-30
WiSe 2012/13,2012-10-01,2012-10-08,2012-12-24,2013-01-04,2013-02-01,2013-03-31
SoSe 2013,2013-04-01,2013-04-08,2013-05-21,2013-05-25,2013-07-19,2013-09-30
WiSe 2013/14,2013-10-01,2013-10-14,2013-12-23,2014-01-03,2014-02-07,2014-03-31
SoSe 2014,2014-04-01,2014-04-07,2014-06-10,2014-06-14,2014-07-18,2014-09-30
WiSe 2014/15,2014-10-01,2014-10-06,2014-12-22,2015-01-02,2015-02-06,2015-03-31
SoSe 2015,2015-04-01,2015-04-07,2015-05-26,2015-05-29,2015-07-17,2015-09-30
WiSe 2015/16,2015-10-01,2015-10-19,2015-12-23,2016-01-06,2016-02-12,2016-03-31
SoSe 2016,2016-04-01,2016-04-11,2016-05-17,2016-05-20,2016-07-22,2016-09-30
WiSe 2016/17,2016-10-01,2016-10-17,2016-12-23,2017-01-06,2017-02-10,2017-03-31
SoSe 2017,2017-04-01,2017-04-18,2017-06-06,2017-06-09,2017-07-28,2017-09-30
WiSe 2017/18,2017-10-01,2017-10-09,2017-12-27,2018-01-05,2018-02-02,2018-03-31
SoSe 2018,2018-04-01,2018-04-09,2018-05-22,2018-05-25,2018-07-20,2018-09-30
WiSe 2018/19,2018-10-01,2018-10-08,2018-12-21,2019-01-04,2019-02-01,2019-03-31
SoSe 2019,2019-04-01,2019-04-01,2019-06-11,2019-06-14,2019-07-12,2019-09-30
WiSe 2019/20,2019-10-01,2019-10-07,2019-12-23,2020-01-06,2020-01-31,2020-03-31
SoSe 2020,2020-04-01,2020-04-20,2020-06-02,2020-06-05,2020-07-17,2020-09-30
WiSe 2020/21,2020-10-01,2020-11-02,2020-12-23,2021-01-06,2021-02-12,2021-03-31
SoSe 2021,2021-04-01,2021-04-12,2021-05-25,2021-05-28,2021-07-23,2021-09-30
WiSe 2021/22,2021-10-01,2021-10-11,2021-12-24,2022-01-07,2022-02-04,2022-03-31
SoSe 2022,2022-04-01,2022-04-04,2022-06-07,2022-06-10,2022-07-15,2022-09-30
WiSe 2022/23,2022-10-01,2022-10-10,2022-12-23,2023-01-06,2023-02-03,2023-03-31
SoSe 2023,2023-04-01,2023-04-03,2023-05-30,2023-06-02,2023-07-14,2023-09-30
WiSe 2023/24,2023-10-01,2023-10-09,2023-12-21,2024-01-05,2024-02-02,2024-03-31
